id,Status,Title,Issue Link,PR or Commit Link,Trigger,Symptom,Cause (sub-category),Cause (high-level),Fix Pattern
22,Closed,--@size_t-@is-@usize not working if the function is named malloc,https://github.com/rust-lang/rust-bindgen/issues/1770,,Tool Configuration Option;Primitive Datatype,Incorrect Output,Misbehaving Configuration Option,TBE,
23,Closed,bindgen fails to generate comments (at all),https://github.com/rust-lang/rust-bindgen/issues/1748,,Comment,Incorrect Output,Incorrect Comment,UFC,
24,Closed,An attribute on C callback function leads to wrong bindings,https://github.com/rust-lang/rust-bindgen/issues/1729,,Function;Type Alias,Incorrect Output,Incorrect Function Signature,UFC,
25,Closed,extern const array is unexpectedly mut,https://github.com/rust-lang/rust-bindgen/issues/1727,https://github.com/rust-lang/rust-bindgen/pull/1730,Array;Constant,Incorrect Output,Incorrect Mutability,UFC,Add condition in assign
26,Closed,BINDGEN_EXTRA_CLANG_ARGS for command line mode,https://github.com/rust-lang/rust-bindgen/issues/1723,https://github.com/rust-lang/rust-bindgen/commit/f34e4103f304500c96d332f5cecc9067c980d0f9,Tool Configuration Option,Compilation Error,Misbehaving Configuration Option,TBE,
27,Closed,the trait bound `[u8; 44]: std::default::Default` is not satisfied,https://github.com/rust-lang/rust-bindgen/issues/1718,https://github.com/rust-lang/rust-bindgen/pull/1719,Struct;Bitfield,Compilation Error,Wrong Derived Trait,DTE,Unwarpping in else;Mutate Condition;Add if block 
28,Closed,Packed bitfield struct produces incorrect size struct (and maybe alignment?),https://github.com/rust-lang/rust-bindgen/issues/1716,https://github.com/rust-lang/rust-bindgen/pull/1717,Struct;Bitfield;Attribute,Incorrect Output,Size Mismatch,MEM,Wrapping in else
29,Closed,bindgen chokes on non-empty macro prefix to namespaces,https://github.com/rust-lang/rust-bindgen/issues/1676,https://github.com/rust-lang/rust-bindgen/pull/1678,Namespace;Macro,Crash,Panic,TRE,Mutate match arm
30,Closed,size_t vs usize,https://github.com/rust-lang/rust-bindgen/issues/1671,https://github.com/rust-lang/rust-bindgen/pull/1688,Primitive Datatype,Incorrect Output,Incorrect Data Type,UFC,Delete match arm
31,Closed,Infinite Loop/Recursion/Recursion/stack overflow,https://github.com/rust-lang/rust-bindgen/issues/1608,,Template;Struct,Hang,Infinite Loop/Recursion,TBE,
32,Closed,"Fail to generate bindings for functions with calling convention ""aapcs-vfp"" for armv7a",https://github.com/rust-lang/rust-bindgen/issues/1607,,Function;Attribute;Target Platform,Compilation Error,Target Compatibility Issue,CPI,
33,Closed,Octave oct.h unresolved import `self::super::super::u32`',https://github.com/rust-lang/rust-bindgen/issues/1599,https://github.com/rust-lang/rust-bindgen/pull/1653,Template;Enum;Primitive Datatype;Tool Configuration Option,Compilation Error,Incorrect import path,IMRE,Add condition in if
34,Closed,rustc nightly fails with error: trait objects without an explicit `dyn` are deprecated,https://github.com/rust-lang/rust-bindgen/issues/1598,https://github.com/rust-lang/rust-bindgen/pull/1603,,Compilation Error,Version Compatibility Issue,CPI,
35,Closed,Infinite Loop/Recursion/Recursion on small input with alignof,https://github.com/rust-lang/rust-bindgen/issues/1590,https://github.com/rust-lang/rust-bindgen/pull/1591,Template;Class,Hang,Infinite Loop/Recursion,TBE,Mutate method chain
36,Closed,Extraneous padding in struct with bitfield and flexible array member,https://github.com/rust-lang/rust-bindgen/issues/1589,https://github.com/rust-lang/rust-bindgen/pull/1592,Flexible Array Member;Struct;Bitfield,Incorrect Output,Size Mismatch,MEM,Add match arm
37,Closed,Bindgen incorrectly generates pointers to block pointers.,https://github.com/rust-lang/rust-bindgen/issues/1580,https://github.com/rust-lang/rust-bindgen/pull/1582,Pointer;Struct,Incorrect Output,Incorrect Mutability,UFC,Mutate match arm
38,Closed,0.49.1 breaks nostd compilation,https://github.com/rust-lang/rust-bindgen/issues/1574,,,Crash,Version Compatibility Issue,CPI,
39,Closed,repr(align(0)) for std::basic_string causing build error,https://github.com/rust-lang/rust-bindgen/issues/1565,https://github.com/rust-lang/rust-bindgen/pull/1595,Union,Compilation Error,Platform Compatibility Issue,CPI,Guard Clause
40,Open,Bad structure padding in FreeBSD's nvme.h,https://github.com/rust-lang/rust-bindgen/issues/1563,,Struct,Incorrect Output,Size Mismatch,MEM,
41,Closed,bindgen generates union with u128 member for alignment which is UB for FFI,https://github.com/rust-lang/rust-bindgen/issues/1560,,Union,Incorrect Output,Unsafe FFI,USC,
42,Closed,Bindgen gets parameter names wrong in callbacks,https://github.com/rust-lang/rust-bindgen/issues/1535,https://github.com/rust-lang/rust-bindgen/pull/1536,Function;Pointer,Incorrect Output,Incorrect Function Signature,UFC,
43,Closed,bindgen startup is incredibly slow,https://github.com/rust-lang/rust-bindgen/issues/1532,,,Performance,Slow,TBE,
44,Closed,#[must_use] is not applied to functions when __attribute((warn_unused_result)) is used through a macro defined in an included file.,https://github.com/rust-lang/rust-bindgen/issues/1518,,Tool Configuration Option;Attribute,Incorrect Output,Misbehaving Configuration Option,TBE,
45,Closed,Generated code for inner class of template-class doesn't use type-parameter,https://github.com/rust-lang/rust-bindgen/issues/1514,https://github.com/rust-lang/rust-bindgen/pull/1515,Template;Struct,Compilation Error,Missing Generic Argument,INC,Wrapping in method;mutate method chain
46,Closed,0.47.1 breaks emmintrin.h on macOS,https://github.com/rust-lang/rust-bindgen/issues/1506,,,Crash,Version Compatibility Issue,CPI,
47,Closed,"build fails with (signal: 11, SIGSEGV: invalid memory reference)",https://github.com/rust-lang/rust-bindgen/issues/1504,,,Crash,SIGSEGV,TRE,
48,Closed,Bindgen outputs warnings in generated bindings file,https://github.com/rust-lang/rust-bindgen/issues/1502,,,Incorrect Output,Unexpected  Warning,TBE,
49,Closed,Bindgen gets bindings for function pointer as return-type wrong.,https://github.com/rust-lang/rust-bindgen/issues/1500,https://github.com/rust-lang/rust-bindgen/pull/1508,Pointer;Function,Incorrect Output,Incorrect Function Signature,UFC,Mutate match arm
50,Closed,bindgen produces an E0588 error when dealing with a packed struct with union.,https://github.com/rust-lang/rust-bindgen/issues/1498,https://github.com/rust-lang/rust-bindgen/commit/9134679a98703879ddd081fe14b64cfae074de4a,Struct;Union;Attribute,Compilation Error,Packed and aligned attribute conflict issue,MEM,Reorder Code Block
51,Closed,"`#define S ""...\n""` inconsistent with `static const char S[] = ""...\n""`",https://github.com/rust-lang/rust-bindgen/issues/1468,,Macro;String;Constant,Incorrect Output,Incorrect Constant Value,UFC,
52,Closed,Performance regression in 0.44.0 for headers that (transitively) include AVX512F intrinsics,https://github.com/rust-lang/rust-bindgen/issues/1465,https://github.com/rust-lang/rust-bindgen/pull/1467,Attribute,Performance,Slow,TBE,Add condition in assign
53,Closed,Panic because of an invalid Ident,https://github.com/rust-lang/rust-bindgen/issues/1464,https://github.com/rust-lang/rust-bindgen/pull/1513,Template;Class;Function,Compilation Error,Invalid Identifier,IDRE,Guard Clause
54,Closed,__BindgenUnionField definition was missing from generated code even when in use,https://github.com/rust-lang/rust-bindgen/issues/1457,https://github.com/rust-lang/rust-bindgen/pull/1458,Union,Compilation Error,Missing Type Definition,INC,
55,Closed,Copy not derived when using whitelist_recursively(false),https://github.com/rust-lang/rust-bindgen/issues/1454,https://github.com/rust-lang/rust-bindgen/pull/2007,Tool Configuration Option,Incorrect Output,Missing Derived Traits;Misbehaving Configuration Option,DTE;TBE,Add if block
56,Closed,rustfmt_bindings(true) doesn't format the output file,https://github.com/rust-lang/rust-bindgen/issues/1445,,Tool Configuration Option,Incorrect Output,Misbehaving Configuration Option,TBE,
57,Closed,"""Calculated wrong layout"" for structs with reference member",https://github.com/rust-lang/rust-bindgen/issues/1443,https://github.com/rust-lang/rust-bindgen/pull/1531,Struct;Reference,Incorrect Output,Size Mismatch,MEM,Mutate method argument
58,Closed,C++: --enable-cxx-namespaces can fail to generate type Aliass,https://github.com/rust-lang/rust-bindgen/issues/1435,https://github.com/rust-lang/rust-bindgen/pull/1436,Tool Configuration Option;Namespace;Type Alias,Compilation Error,Missing Type Definition;Missing Alias Definition,INC,Mutate Method Chain;mutate condition
59,Closed,Regression: Long literals ending with 'L' parsed as floats,https://github.com/rust-lang/rust-bindgen/issues/1424,,Primitive Datatype,Incorrect Output,Version Compatibility Issue;Incorrect Data Type,CPI;UFC,
60,Closed,Output under bindgen::EnumVariation::ModuleConsts missing ::Type?,https://github.com/rust-lang/rust-bindgen/issues/1418,https://github.com/rust-lang/rust-bindgen/pull/1419,Type Alias;Enum,Compilation Error,Misbehaving Configuration Option;Incorrect Function Signature,TBE;UFC,Reorder Code Block
61,Closed,Incorrect return type when using __stdcall,https://github.com/rust-lang/rust-bindgen/issues/1402,https://github.com/rust-lang/rust-bindgen/commit/c75b62d1a19b79a053996642f4915269e38f877c,Type Alias;Function;Pointer,Incorrect Output,Incorrect Function Signature,UFC,Reorder Code Block
62,Closed,Deriving PartialOrd and Ord for enum,https://github.com/rust-lang/rust-bindgen/issues/1395,https://github.com/rust-lang/rust-bindgen/pull/1396,Enum,Incorrect Output,Missing Derived Traits;Misbehaving Configuration Option,DTE;TBE,
63,Closed,Automated test failure: union with alignment attrs,https://github.com/rust-lang/rust-bindgen/issues/1393,https://github.com/rust-lang/rust-bindgen/pull/1394,Union,Incorrect Output,Alignment Mismatch,MEM,Reorder Code Block
64,Closed,Better warnings for types with the same name as rust types,https://github.com/rust-lang/rust-bindgen/issues/1382, https://github.com/rust-lang/rust-bindgen/pull/1798,Primitive Datatype;Type Alias,Compilation Error,Alias Cycle;Invalid Identifier,IDRE,Add match arm
65,Closed,Properly handle enum constants near u32::max_value(),https://github.com/rust-lang/rust-bindgen/issues/1380,https://github.com/rust-lang/rust-bindgen/pull/1381,Primitive Datatype;Shift,Incorrect Output,nan,,Guard Clause
66,Closed,incomplete array in struct alignment is wrong,https://github.com/rust-lang/rust-bindgen/issues/1359,https://github.com/rust-lang/rust-bindgen/pull/1592,Struct;Flexible Array Member,Incorrect Output,Alignment Mismatch,MEM,Add match arm
67,Closed,__attribute__((overloadable)) function has wrong name,https://github.com/rust-lang/rust-bindgen/issues/1350,https://github.com/rust-lang/rust-bindgen/pull/1434,Function;Attribute,Incorrect Output,Incorrect Function Signature,UFC,Reorder Code Block;Wrapping in if
68,Closed,Large bitfield structs don't meet `__BindgenBitfieldUnit` parameter bounds,https://github.com/rust-lang/rust-bindgen/issues/1325,,Struct;Bitfield,Compilation Error,Wrong Derived Trait,DTE,
69,Closed,Auto-Incorrect Output,https://github.com/rust-lang/rust-bindgen/issues/1318,,Struct;Attribute,Incorrect Output,,,
70,Closed,"Generating derives for Hash, Default and Debug for an Union",https://github.com/rust-lang/rust-bindgen/issues/1285,https://github.com/rust-lang/rust-bindgen/pull/1294,Struct;Union,Compilation Error,Wrong Derived Trait,DTE,Mutate method argument
71,Closed,Wrong padding size generated from different arch,https://github.com/rust-lang/rust-bindgen/issues/1284,https://github.com/rust-lang/rust-bindgen/pull/1289,Struct;Target Platform,Incorrect Output,Target Compatibility Issue;Size Mismatch,CPI;MEM,
72,Closed,Opaque types do not honor no-* flags,https://github.com/rust-lang/rust-bindgen/issues/1238,https://github.com/rust-lang/rust-bindgen/pull/1241,Struct;Type Alias;Tool Configuration Option,Incorrect Output,Wrong Derived Trait;Misbehaving Configuration Option,DTE;TBE,Add condition in if
73,Closed,"regression from 0.30: ""..."" disappear from function pointer",https://github.com/rust-lang/rust-bindgen/issues/1216,https://github.com/rust-lang/rust-bindgen/pull/1217,Function,Incorrect Output,Incorrect Function Signature,UFC,Reorder Code Block
74,Closed,Bindgen 0.31 emits link_name but no function prototype (regression from 0.30),https://github.com/rust-lang/rust-bindgen/issues/1150,,Function,Compilation Error,Missing Function Definition,INC,
75,Closed,"Panic in bindgen: ""Not an item""",https://github.com/rust-lang/rust-bindgen/issues/1127,https://github.com/rust-lang/rust-bindgen/pull/1128,Template;Struct,Crash,Panic,TRE,Mutate Method Chain
76,Closed,Rustfmt mangles generated bindings with `union`,https://github.com/rust-lang/rust-bindgen/issues/1120,,Union,Compilation Error,nan,,
77,Closed,Incorrect derive partial eq/Hash for struct contains incomplete array field ,https://github.com/rust-lang/rust-bindgen/issues/1093,https://github.com/rust-lang/rust-bindgen/pull/1094,Struct;Flexible Array Member,Compilation Error,Wrong Derived Trait,DTE,Add branch in statement
78,Closed,Undefined references for native library,https://github.com/rust-lang/rust-bindgen/issues/1046,,Function;Target Platform,Compilation Error,Incorrect Link Name,UFC,
79,Closed,Unsigned global set to -1,https://github.com/rust-lang/rust-bindgen/issues/1040,https://github.com/rust-lang/rust-bindgen/pull/1081,Primitive Datatype:Constant,Compilation Error,Incorrect Constant Value,UFC,Wrapping in if
80,Closed,=--@use-@core bindings refers std,https://github.com/rust-lang/rust-bindgen/issues/1015,,Tool Configuration Option;Primitive Datatype,Incorrect Output,Misbehaving Configuration Option,TBE,
81,Closed,Incorrect layout with large bitfield,https://github.com/rust-lang/rust-bindgen/issues/1007,https://github.com/rust-lang/rust-bindgen/pull/1060,Struct;Bitfield,Incorrect Output,Size Mismatch,MEM,Add match block
82,Closed,Can't compile `tests/expectations` on macOS version 10.12.6,https://github.com/rust-lang/rust-bindgen/issues/1004,https://github.com/rust-lang/rust-bindgen/pull/1026,Class;Function,Compilation Error,Platform Compatibility Issue,CPI,
83,Closed,variadic function must have C or cdecl calling convention,https://github.com/rust-lang/rust-bindgen/issues/997,https://github.com/rust-lang/rust-bindgen/pull/1369,Attribute;Function,Compilation Error,,,Guard Clause
84,Closed,"Bindgen generates getters and setters which access memory beyond ""self""",https://github.com/rust-lang/rust-bindgen/issues/954,https://github.com/rust-lang/rust-bindgen/pull/1149,Bitfield;Struct,Incorrect Output,,,Mutate method argument
85,Closed,bindgen emitted Rust code that won't compile,https://github.com/rust-lang/rust-bindgen/issues/951,https://github.com/rust-lang/rust-bindgen/pull/675,Enum;Macro,Compilation Error,Duplicate Definition,IDRE,Guard Clause
86,Closed,".opaque_type(""std::string"")",https://github.com/rust-lang/rust-bindgen/issues/949,,Namespace;Class;Tool Configuration Option,Compilation Error,Missing Type Definition;Misbehaving Configuration Option,INC;TBE,
87,Closed,android system headers -> cyclic type Aliass,https://github.com/rust-lang/rust-bindgen/issues/946,https://github.com/rust-lang/rust-bindgen/pull/1239,Type Alias;Target Platform,Compilation Error,Duplicate Definition;Alias Cycle,IDRE,Mutate method chain
88,Closed,Global enum in the wrong namespace,https://github.com/rust-lang/rust-bindgen/issues/888,https://github.com/rust-lang/rust-bindgen/pull/926,Namespace;Enum,Compilation Error,Missing Type Definition;Missing Alias Definition,INC,Add match block
89,Closed,loops in the name graph,https://github.com/rust-lang/rust-bindgen/issues/839,,Type Alias;Enum,Compilation Error,Alias Cycle,IDRE,
90,Closed,bitfield methods not generated,https://github.com/rust-lang/rust-bindgen/issues/816,,Struct;Bitfield,Incorrect Output,Missing Function Definition;Version Compatibility Issue,INC;CPI,
91,Closed,Protected member functions in opaque c++ types,https://github.com/rust-lang/rust-bindgen/issues/807,https://github.com/rust-lang/rust-bindgen/pull/808,Class;Function;Tool Configuration Option,Compilation Error,Missing Type Definition,INC,Reorder Code Block
92,Closed,Opaque types with static members produce invalid bindings,https://github.com/rust-lang/rust-bindgen/issues/801,https://github.com/rust-lang/rust-bindgen/pull/802,Class;Function;Tool Configuration Option,Compilation Error,Missing Type Definition,INC,Wrapping in if
93,Closed,Support markdown in C++ doc comments.,https://github.com/rust-lang/rust-bindgen/issues/800,https://github.com/rust-lang/rust-bindgen/pull/2347,Comment,Incorrect Output,Incorrect Comment,UFC,
94,Closed,Incorrect `__cxx11` part in symbol names in generated rust code,https://github.com/rust-lang/rust-bindgen/issues/789,https://github.com/rust-lang/rust-bindgen/pull/792,Namespace;Function,Compilation Error,Missing Type Definition;Incorrect  Identifier,INC;UFC,Mutate method chain
95,Closed,Bitfield constructors may overflow the stack on codegen phase.,https://github.com/rust-lang/rust-bindgen/issues/775,,Bitfield;Struct,Crash,Infinite Loop/Recursion,TBE,
96,Closed,Testing instantiation with argument of a type that we didn't generate bindings for,https://github.com/rust-lang/rust-bindgen/issues/769,https://github.com/rust-lang/rust-bindgen/pull/770,Template;Class;Type Alias;Tool Configuration Option,Compilation Error,Missing Type Definition,INC,
97,Closed,prepend_enum_name(false) doesn't work on constified enum variants,https://github.com/rust-lang/rust-bindgen/issues/755,https://github.com/rust-lang/rust-bindgen/pull/759,Enum;Tool Configuration Option,Incorrect Output,Misbehaving Configuration Option,TBE,Mutate method argument;Wrapping in if
98,Closed,wasm32 target does not generate class functions.,https://github.com/rust-lang/rust-bindgen/issues/751,,Class;Function;Target Platform,Incorrect Output,Target Compatibility Issue;Missing Function Definition,CPI;INC,
99,Closed,Bitfields in unions are broken,https://github.com/rust-lang/rust-bindgen/issues/744,https://github.com/rust-lang/rust-bindgen/pull/1066,Union;Bitfield,Incorrect Output,Version Compatibility Issue,CPI,Wrapping in if
100,Closed,on 32-bit  platform (e.g. PI) including sys/param.h causes 'shift left with overflow error'.,https://github.com/rust-lang/rust-bindgen/issues/739,https://github.com/rust-lang/rust-bindgen/commit/21a44aa8de944adb84772a3544a5644ef15a945a,Struct;Bitfield;Shift,Compilation Error,Overflow Error;Platform Compatibility Issue,MEM;CPI,Wrapping in else
101,Closed,Can't place a member in the remaining space of a bitfield.,https://github.com/rust-lang/rust-bindgen/issues/734,https://github.com/rust-lang/rust-bindgen/commit/d8440cb4f14d9aa071f2e4bc49d802c5eac181a0,Struct;Bitfield,Incorrect Output,Size Mismatch,MEM,Add If block;Mutate match arm
102,Closed,Generate struct of wrong size with bitfields,https://github.com/rust-lang/rust-bindgen/issues/726,https://github.com/rust-lang/rust-bindgen/pull/736,Class;Enum;Bitfield,Incorrect Output,Size Mismatch,MEM,
103,Closed,Improper virtual method tracking with template parameters.,https://github.com/rust-lang/rust-bindgen/issues/691,https://github.com/rust-lang/rust-bindgen/pull/692,Class;Template,Incorrect Output,nan,,Delete condition in if
104,Closed,enum and define with the same name collide,https://github.com/rust-lang/rust-bindgen/issues/687,https://github.com/rust-lang/rust-bindgen/pull/1243,Enum;Macro,Compilation Error,Duplicate Definition,IDRE,Mutate method chain;add if block
105,Closed,Incomplete/zero-sized arrays don't affect struct alignment.,https://github.com/rust-lang/rust-bindgen/issues/684,https://github.com/rust-lang/rust-bindgen/pull/1477,Struct;Flexible Array Member,Incorrect Output,Alignment Mismatch,MEM,
106,Closed,Nested namespace definitions aren't supported,https://github.com/rust-lang/rust-bindgen/issues/677,https://github.com/rust-lang/rust-bindgen/pull/680,Namespace,Compilation Error,nan,,Add match arm
107,Closed,Hopefully the last stylo derived issues,https://github.com/rust-lang/rust-bindgen/issues/674,https://github.com/rust-lang/rust-bindgen/pull/675,Template;Type Alias;Type Alias,Compilation Error,Missing Generic Argument,INC,Reorder Code Block;Guard clause
108,Closed,No type definitions for macro defined struct fields in structs,https://github.com/rust-lang/rust-bindgen/issues/672,https://github.com/rust-lang/rust-bindgen/pull/644,Macro;Struct,Compilation Error,Missing Type Definition,INC,Delete condition in if
109,Closed,Even some more stylo derived errors,https://github.com/rust-lang/rust-bindgen/issues/662,https://github.com/rust-lang/rust-bindgen/pull/663,Template;Class,Compilation Error,Missing Generic Argument,INC,
110,Closed,Debug trait is derived when a struct contains __bindgen_padding,https://github.com/rust-lang/rust-bindgen/issues/648,https://github.com/rust-lang/rust-bindgen/pull/857,Struct,Compilation Error,Wrong Derived Trait,DTE,Guard Clause
111,Closed,Struct typedef in class fails with wrong struct size,https://github.com/rust-lang/rust-bindgen/issues/639,https://github.com/rust-lang/rust-bindgen/commit/bcf1ba38ac9f67ead8642b0b36d745f498e84f24,Struct;Class;Type Alias,Incorrect Output,Size Mismatch,MEM,Wrapping in else
112,Closed,Codegen errors creduced from stylo,https://github.com/rust-lang/rust-bindgen/issues/638,https://github.com/rust-lang/rust-bindgen/commit/bce13307645172be62e8895e82d9362f0c4e4fd6,Template;Class,Incorrect Output,Wrong Derived Trait;Missing Generic Argument,DTE;INC,Mutate method chain
113,Closed,"bindgen generates erroneous rust code: error: expected identifier, found `_`",https://github.com/rust-lang/rust-bindgen/issues/631,https://github.com/rust-lang/rust-bindgen/pull/1008,,Compilation Error,Invalid Identifier,IDRE,Add match arm
114,Closed,Test call-conv-field fails on macOS,https://github.com/rust-lang/rust-bindgen/issues/593,https://github.com/rust-lang/rust-bindgen/commit/ddfc32d9e304a5179f3474b2732da97612cc7637,Function,Incorrect Output,Incorrect Link Name;Platform Compatibility Issue,UFC;CPI,Mutate condition in if;Mutate function name
115,Closed,assertion failed: ctx.resolve_type_through_type_refs(decl).is_opaque(),https://github.com/rust-lang/rust-bindgen/issues/574,https://github.com/rust-lang/rust-bindgen/pull/575,Template;Class,Crash,Panic,TRE,
116,Closed,Even more failing layout tests with SpiderMonkey bindings,https://github.com/rust-lang/rust-bindgen/issues/573,https://github.com/rust-lang/rust-bindgen/pull/581,Template;Class,Incorrect Output,Size Mismatch,MEM,
117,Closed,Non-type template parameters and failing layout tests,https://github.com/rust-lang/rust-bindgen/issues/569,https://github.com/rust-lang/rust-bindgen/pull/572,Template;Class,Incorrect Output,Size Mismatch,MEM,Wrapping in if;Reorder Code Block
118,Closed,Bindgen layout test fails with linux/virtio_net.h,https://github.com/rust-lang/rust-bindgen/issues/568,,Flexible Array Member;Struct;Attribute,Incorrect Output,Size Mismatch,MEM,
119,Closed,Panic with C++ template templates,https://github.com/rust-lang/rust-bindgen/issues/555,,Template;Struct;Class,Crash,Panic,TRE,
120,Closed,Wrong layout for empty struct in C mode,https://github.com/rust-lang/rust-bindgen/issues/551,https://github.com/rust-lang/rust-bindgen/pull/552,Struct,Incorrect Output,Size Mismatch,MEM,Wrapping in if
121,Closed,ignored __stdcall,https://github.com/rust-lang/rust-bindgen/issues/547,,Function,Compilation Error,,,
122,Closed,"Bindgen can't translate `#pragma pack(n)` into `#[repr(packed = ""n"")]`",https://github.com/rust-lang/rust-bindgen/issues/537,https://github.com/rust-lang/rust-bindgen/pull/1485,Struct,Incorrect Output,Alignment Mismatch,MEM,Wrapping in if;Mutate match arm
123,Closed,Code for inner struct is not generated,https://github.com/rust-lang/rust-bindgen/issues/527,https://github.com/rust-lang/rust-bindgen/pull/532/commits/ea39b98f8d0df40e853cd86c973f71a82f75b7cd,Struct;Union,Compilation Error,Missing Type Definition,INC,Add If block;mutate condition
124,Closed,pointer constness is applied to pointee,https://github.com/rust-lang/rust-bindgen/issues/511,,Pointer;Constant,Incorrect Output,Incorrect Mutability,UFC,
125,Closed,const array arguments are translated into *mut,https://github.com/rust-lang/rust-bindgen/issues/509,https://github.com/rust-lang/rust-bindgen/pull/513,Array;Constant,Incorrect Output,Incorrect Mutability;Incorrect Function Signature,UFC,Mutate Method Chain
